Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
17750;17750;297.12658;7084.5375;1004.6476;8089.1851;108.94888;64.062061;0.72148949
18000;18000;293.49154;6997.8655;962.50399;7960.3695;-24.874722;63.988193;0.72399104
18250;18250;299.43301;7139.5308;931.211;8070.7418;155.55895;64.04788;0.72196884
18500;18500;294.64953;7025.476;785.4156;7810.8916;225.06471;64.014972;0.72308282
18750;18750;299.9588;7152.0675;929.09573;8081.1633;682.61882;63.893673;0.72720886
19000;19000;293.50599;6998.2099;949.41783;7947.6277;186.33271;64.019831;0.7229182
19250;19250;297.27401;7088.0527;1080.916;8168.9687;378.38018;64.068336;0.72127754
19500;19500;297.31258;7088.9723;979.74927;8068.7215;344.61501;64.106157;0.72000168
19750;19750;297.07833;7083.387;1124.5395;8207.9266;16.618945;64.099818;0.7202153
20000;20000;294.92674;7032.0857;974.35049;8006.4362;175.56424;64.01282;0.72315577
20250;20250;301.2858;7183.7079;950.00603;8133.7139;352.23451;63.896282;0.72711979
20500;20500;296.41441;7067.557;846.75314;7914.3101;191.53916;63.945214;0.72545185
20750;20750;299.30707;7136.5281;1015.1826;8151.7107;210.53894;64.035462;0.72238894
21000;21000;297.16998;7085.5723;1006.5996;8092.172;397.37763;64.127045;0.71929834
21250;21250;303.42339;7234.6755;1029.0992;8263.7746;527.02003;64.097342;0.72029875
21500;21500;297.74069;7099.1801;982.15107;8081.3312;494.34594;64.056708;0.72167041
21750;21750;302.02732;7201.3882;933.88201;8135.2702;503.24605;64.090184;0.72054013
22000;22000;297.11878;7084.3516;872.86229;7957.2139;456.5768;63.998762;0.72363242
22250;22250;300.28566;7159.8611;1015.4585;8175.3195;427.02842;63.924902;0.7261436
22500;22500;298.47036;7116.5778;905.72559;8022.3034;27.324918;64.005807;0.72339348
22750;22750;301.03756;7177.7889;877.15069;8054.9396;332.98483;63.934445;0.72581849
23000;23000;304.60417;7262.8294;925.13014;8187.9596;181.45512;64.017207;0.72300712
23250;23250;293.51368;6998.3934;1061.8759;8060.2693;-4.987042;64.201275;0.71680623
23500;23500;295.92436;7055.8723;1139.3446;8195.2169;582.58512;64.026745;0.72268403
23750;23750;300.09825;7155.3924;866.36137;8021.7538;461.4654;63.976818;0.72437728
24000;24000;298.16834;7109.3767;972.67653;8082.0532;448.3177;63.97121;0.72456781
24250;24250;298.56834;7118.9142;923.68172;8042.5959;357.49247;64.04908;0.72192828
24500;24500;301.98338;7200.3405;912.97797;8113.3185;143.79457;63.965219;0.72477143
24750;24750;293.08044;6988.0633;1017.2526;8005.3159;335.5342;63.838866;0.72908344
25000;25000;297.02494;7082.114;874.64647;7956.7604;191.35541;63.991497;0.72387891
25250;25250;299.75398;7147.1839;1034.9975;8182.1814;390.41339;63.959213;0.72497562
25500;25500;297.93477;7103.8076;935.96741;8039.775;365.74966;63.940293;0.72561936
25750;25750;299.83398;7149.0913;1033.1135;8182.2048;339.9512;64.002673;0.72349977
26000;26000;293.58322;7000.0514;1095.2536;8095.305;157.2433;64.038372;0.72229048
26250;26250;299.80246;7148.3399;869.21196;8017.5519;436.62559;63.949444;0.7253079
26500;26500;303.05175;7225.8143;892.77954;8118.5939;451.17253;63.847976;0.72877143
26750;26750;298.69776;7122;851.23545;7973.2355;282.96874;63.990667;0.72390709
27000;27000;301.13785;7180.1803;925.0352;8105.2155;342.13794;64.086725;0.72065683
27250;27250;296.78279;7076.3403;1024.5781;8100.9184;151.48239;64.102344;0.72013015
27500;27500;296.66256;7073.4736;954.36337;8027.8369;423.18468;64.008252;0.72331059
27750;27750;297.66624;7097.4049;1032.8731;8130.278;290.33569;64.056792;0.72166754
28000;28000;297.46003;7092.488;859.90775;7952.3958;276.60539;64.0857;0.72069139
28250;28250;297.72766;7098.8693;1036.7031;8135.5723;344.84419;64.005557;0.72340199
28500;28500;298.23325;7110.9244;854.06415;7964.9885;540.59001;63.959471;0.72496684
28750;28750;301.02537;7177.4983;958.1129;8135.6112;653.22035;63.871895;0.72795297
29000;29000;295.2606;7040.046;887.83254;7927.8785;543.01712;63.890151;0.72732915
29250;29250;299.37005;7138.0297;995.12001;8133.1497;266.81704;64.078327;0.72094021
29500;29500;297.67431;7097.5972;1003.2874;8100.8846;206.29155;64.08925;0.72057165
29750;29750;301.85753;7197.34;893.13366;8090.4736;343.5719;64.031655;0.72251779
30000;30000;292.36059;6970.8996;956.80078;7927.7004;-380.73858;64.045692;0.72204284
30250;30250;300.91393;7174.8412;991.36423;8166.2054;-172.20689;63.985494;0.72408266
30500;30500;294.65789;7025.6753;973.48036;7999.1557;303.4163;64.036787;0.72234411
30750;30750;297.54151;7094.4309;997.89241;8092.3233;495.06834;64.104779;0.72004809
31000;31000;297.08825;7083.6235;1076.0746;8159.698;553.54889;64.175315;0.71767648
31250;31250;293.36218;6994.7809;1028.5677;8023.3486;601.19091;64.078541;0.72093298
31500;31500;301.43872;7187.354;993.9614;8181.3154;507.80365;63.925661;0.72611776
31750;31750;295.63704;7049.0216;893.31678;7942.3383;293.33464;63.989437;0.72394884
32000;32000;298.70404;7122.1498;1025.1039;8147.2537;31.698841;64.113789;0.71974459
32250;32250;307.4294;7330.1928;1093.4857;8423.6785;76.658787;64.183292;0.71740891
32500;32500;299.78768;7147.9874;929.35543;8077.3428;125.18938;64.209079;0.71654491
32750;32750;300.52225;7165.5021;963.85614;8129.3582;349.83025;63.996043;0.72372465
33000;33000;297.07844;7083.3897;887.40035;7970.79;167.93891;64.055534;0.72171009
33250;33250;297.72685;7098.85;1059.2557;8158.1057;-177.0515;64.183612;0.71739818
33500;33500;296.7264;7074.9959;996.82875;8071.8246;13.461782;64.171426;0.71780697
33750;33750;300.45639;7163.9318;1048.7901;8212.7219;175.78752;64.083164;0.72077695
34000;34000;294.13338;7013.1692;1039.8571;8053.0263;455.1831;64.068469;0.72127305
34250;34250;298.94595;7127.9176;951.39656;8079.3142;444.2709;64.037143;0.72233207
34500;34500;301.1603;7180.7155;959.87608;8140.5916;691.31167;64.010646;0.72322946
34750;34750;295.47522;7045.1632;967.76495;8012.9281;402.69458;64.049643;0.72190921
35000;35000;298.50194;7117.3308;1072.2839;8189.6147;108.52478;64.078368;0.7209388
35250;35250;296.72433;7074.9465;918.15637;7993.1029;18.407415;64.107078;0.71997064
35500;35500;296.57542;7071.3958;1052.0248;8123.4206;319.03775;63.998451;0.72364295
35750;35750;300.18798;7157.532;972.38197;8129.9139;200.24996;64.031054;0.72253815
36000;36000;298.11605;7108.1299;940.70534;8048.8353;318.82699;64.037415;0.72232285
36250;36250;299.56518;7142.6822;1035.0465;8177.7288;173.86404;64.035285;0.72239493
36500;36500;296.354;7066.1166;972.12642;8038.243;305.17109;64.153124;0.71842146
36750;36750;299.98962;7152.8024;1068.9655;8221.7679;524.92556;64.178759;0.71756092
37000;37000;295.8897;7055.046;948.25538;8003.3014;524.55894;64.041022;0.72220082
37250;37250;297.79387;7100.4481;938.09186;8038.54;517.37382;63.849656;0.72871391
37500;37500;300.71827;7170.176;967.04026;8137.2163;106.94697;64.057898;0.72163017
37750;37750;296.6304;7072.7067;896.97837;7969.6851;0.41164588;64.155503;0.71834154
38000;38000;303.30558;7231.8665;889.85683;8121.7234;419.64163;63.991806;0.72386842
38250;38250;294.85293;7030.3258;891.11623;7921.442;-156.84257;64.04167;0.72217888
38500;38500;298.69358;7121.9002;987.37847;8109.2787;198.09626;64.102917;0.72011086
38750;38750;297.06453;7083.0579;1040.4526;8123.5106;237.34906;64.113585;0.71975146
39000;39000;294.8032;7029.14;968.36832;7997.5083;317.79006;64.103472;0.72009214
39250;39250;300.8526;7173.3788;979.40169;8152.7805;229.93259;64.154284;0.71838251
39500;39500;297.31162;7088.9494;946.52603;8035.4755;444.69609;64.147312;0.71861675
39750;39750;297.47097;7092.749;1058.654;8151.4029;272.38302;64.116802;0.71964313
40000;40000;294.27765;7016.609;938.42222;7955.0312;297.26366;64.043308;0.72212347
40250;40250;304.88306;7269.479;936.69934;8206.1783;240.7966;63.998747;0.72363294
40500;40500;298.96328;7128.3309;879.81189;8008.1428;96.279621;64.031639;0.72251834
40750;40750;300.09238;7155.2526;949.24909;8104.5017;263.38727;63.979234;0.72429522
41000;41000;295.75158;7051.7528;1048.9459;8100.6987;218.72494;64.006287;0.72337724
