Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
0;0;295.72561;7051.1335;1212.3904;8263.5239;278.93915;63.564372;0.73856964
250;250;299.49884;7141.1005;812.26869;7953.3691;216.17185;63.512162;0.74039255
500;500;296.55837;7070.9894;681.30852;7752.298;414.53802;63.399912;0.74433214
750;750;298.65005;7120.8625;802.77544;7923.6379;491.40633;63.388957;0.74471812
1000;1000;292.9995;6986.1334;672.77833;7658.9117;859.18787;63.513483;0.74034635
1250;1250;300.42747;7163.2422;705.51783;7868.76;886.56632;63.486696;0.74128387
1500;1500;297.59676;7095.7483;741.93023;7837.6785;749.53342;63.506613;0.74058666
1750;1750;301.57408;7190.5814;783.52028;7974.1017;331.33846;63.595375;0.73749002
2000;2000;294.67198;7026.0113;779.55163;7805.563;115.0553;63.571076;0.738336
2250;2250;297.24294;7087.312;758.83535;7846.1474;301.76692;63.47669;0.7416345
2500;2500;300.86276;7173.621;749.74972;7923.3707;412.82481;63.517351;0.7402111
2750;2750;295.35741;7042.3542;797.68698;7840.0412;207.68954;63.611621;0.7369251
3000;3000;301.11073;7179.5335;866.48523;8046.0188;976.21198;63.529903;0.73977246
3250;3250;294.50412;7022.0089;817.34363;7839.3525;869.6746;63.56;0.73872206
3500;3500;296.37428;7066.6;952.67779;8019.2778;1075.829;63.668026;0.73496825
3750;3750;298.11397;7108.0804;848.22736;7956.3077;563.48204;63.69122;0.73416558
4000;4000;299.64494;7144.5841;785.5854;7930.1695;638.49126;63.602171;0.73725363
4250;4250;300.32025;7160.6857;696.10992;7856.7956;360.23739;63.570786;0.73834612
4500;4500;296.55529;7070.9159;804.52854;7875.4444;125.96184;63.638181;0.7360028
4750;4750;297.9359;7103.8346;801.99763;7905.8322;368.34776;63.592056;0.73760547
5000;5000;297.02696;7082.1621;770.23664;7852.3987;538.50652;63.497083;0.74092017
5250;5250;301.21636;7182.0523;776.5957;7958.648;854.2453;63.53035;0.73975683
5500;5500;295.08547;7035.8702;834.26696;7870.1371;536.98393;63.673188;0.7347895
5750;5750;301.728;7194.2514;856.62482;8050.8762;413.1728;63.523209;0.74000633
6000;6000;296.24221;7063.451;707.01174;7770.4628;357.93052;63.407567;0.74406257
6250;6250;303.13565;7227.8148;752.70856;7980.5234;481.94636;63.505102;0.74063952
6500;6500;292.11262;6964.9872;848.46529;7813.4525;403.76976;63.596103;0.73746469
6750;6750;296.32722;7065.478;666.18326;7731.6612;663.44912;63.491051;0.74113137
7000;7000;300.85586;7173.4565;721.3135;7894.77;904.53091;63.397057;0.7444327
7250;7250;297.67894;7097.7078;737.40619;7835.114;374.65563;63.546296;0.7392001
7500;7500;296.24579;7063.5364;966.34131;8029.8777;476.20595;63.555635;0.73887427
7750;7750;295.0286;7034.5142;782.19434;7816.7085;289.62558;63.51548;0.74027651
8000;8000;298.37615;7114.3316;767.02561;7881.3572;640.00993;63.442943;0.7428186
8250;8250;296.7277;7075.0267;702.8741;7777.9008;505.52689;63.415017;0.74380037
8500;8500;300.26477;7159.3629;770.82028;7930.1832;576.39261;63.505377;0.74062989
8750;8750;295.77738;7052.3679;821.33608;7873.704;830.88987;63.509885;0.74047219
9000;9000;296.96919;7080.7849;831.59971;7912.3846;680.75995;63.562659;0.73862937
9250;9250;295.77683;7052.3546;804.19208;7856.5467;777.22334;63.511009;0.74043289
9500;9500;298.81937;7124.8996;806.1997;7931.0993;493.59195;63.533492;0.7396471
9750;9750;294.39289;7019.3567;830.01499;7849.3717;107.6529;63.592986;0.73757312
10000;10000;301.32031;7184.5308;815.84671;8000.3775;109.67131;63.428512;0.74332574
10250;10250;293.50939;6998.2911;774.80281;7773.0939;108.48218;63.418576;0.74367516
10500;10500;298.98982;7128.9636;749.63975;7878.6033;431.72548;63.493406;0.74104887
10750;10750;297.62571;7096.4384;831.24627;7927.6847;393.09597;63.428873;0.74331303
11000;11000;298.07185;7107.0761;666.69953;7773.7757;439.71308;63.477101;0.74162007
11250;11250;300.82374;7172.6908;846.47296;8019.1638;412.78543;63.60573;0.73712987
11500;11500;291.61755;6953.1829;888.98016;7842.1631;637.91173;63.640253;0.7359309
11750;11750;301.01652;7177.2873;869.05551;8046.3428;658.28451;63.572291;0.73829368
12000;12000;297.34088;7089.6471;725.92565;7815.5728;539.95356;63.451043;0.74253417
12250;12250;301.18904;7181.4007;726.53691;7907.9376;465.42973;63.403098;0.74421992
12500;12500;296.68431;7073.9923;824.10349;7898.0958;144.36083;63.639172;0.73596841
12750;12750;297.36916;7090.3214;827.95866;7918.2801;282.90587;63.518522;0.74017018
13000;13000;295.81233;7053.2012;633.40018;7686.6014;383.41775;63.35865;0.74578732
13250;13250;299.51065;7141.3821;715.29614;7856.6783;530.14876;63.372359;0.7453034
13500;13500;291.82624;6958.1588;689.42995;7647.5887;271.69732;63.496201;0.74095103
13750;13750;301.60164;7191.2385;690.73878;7881.9773;580.51984;63.513508;0.74034548
14000;14000;296.34971;7066.0143;720.45107;7786.4653;704.88064;63.478242;0.74158008
14250;14250;298.50287;7117.353;782.34894;7899.7019;471.04436;63.467436;0.74195893
14500;14500;301.03206;7177.6578;681.39212;7859.05;645.71215;63.509816;0.74047462
14750;14750;302.75299;7218.6909;737.1704;7955.8613;305.71885;63.510934;0.74043551
15000;15000;295.87312;7054.6507;783.25269;7837.9034;269.14007;63.477476;0.74160692
15250;15250;295.1561;7037.5543;805.80973;7843.3641;445.68029;63.445287;0.74273628
15500;15500;300.77404;7171.5056;926.45671;8097.9623;767.48723;63.511488;0.74041614
15750;15750;298.10732;7107.9218;777.58363;7885.5054;473.21404;63.681923;0.7344872
16000;16000;301.62913;7191.8941;849.95724;8041.8513;646.33208;63.600571;0.73730927
16250;16250;296.26581;7064.0138;730.63097;7794.6448;381.15736;63.469829;0.74187502
16500;16500;301.01268;7177.1958;726.3864;7903.5822;189.7517;63.436379;0.74304922
16750;16750;303.94596;7247.1353;715.93849;7963.0738;224.29657;63.650493;0.73557576
17000;17000;294.81471;7029.4145;844.12833;7873.5428;602.91673;63.576421;0.73814981
17250;17250;297.95389;7104.2634;790.93844;7895.2018;1088.482;63.468348;0.74192695
17500;17500;295.68774;7050.2305;720.52834;7770.7589;761.61946;63.51468;0.74030449
17750;17750;302.86759;7221.4234;758.87136;7980.2947;450.64762;63.581845;0.73796091
18000;18000;292.6563;6977.9505;805.9447;7783.8952;198.13679;63.514067;0.74032594
18250;18250;299.57003;7142.798;932.38035;8075.1783;213.73701;63.550647;0.73904827
18500;18500;299.27755;7135.824;665.09916;7800.9232;461.10607;63.688866;0.73424699
18750;18750;300.76198;7171.2182;767.56834;7938.7866;753.55532;63.495595;0.74097226
19000;19000;295.8252;7053.5081;691.68588;7745.194;747.17879;63.462444;0.74213404
19250;19250;300.64597;7168.4521;744.00481;7912.4569;369.81651;63.689675;0.73421903
19500;19500;303.30979;7231.9669;759.96897;7991.9358;296.44531;63.656377;0.73537183
19750;19750;294.57326;7023.6575;755.6168;7779.2743;480.82601;63.572776;0.73827677
20000;20000;298.19453;7110.0011;881.26775;7991.2688;805.25719;63.516631;0.74023629
20250;20250;297.71124;7098.4778;688.13673;7786.6145;690.77336;63.566862;0.73848285
20500;20500;295.61068;7048.3932;820.15828;7868.5515;490.93986;63.573661;0.73824595
20750;20750;301.35176;7185.2806;827.87232;8013.1529;262.4343;63.540075;0.73941723
21000;21000;294.62332;7024.8511;839.55442;7864.4055;150.44615;63.647093;0.73569367
21250;21250;294.63521;7025.1345;853.8115;7878.946;-1.4795442;63.568454;0.73842737
21500;21500;300.36871;7161.8411;905.31689;8067.158;309.08505;63.524594;0.73995794
21750;21750;296.14525;7061.1391;799.64229;7860.7814;622.03699;63.601825;0.73726565
22000;22000;298.23868;7111.0537;822.28292;7933.3367;962.99282;63.571871;0.73830831
22250;22250;293.05838;6987.5374;752.50543;7740.0428;907.81283;63.530183;0.73976268
22500;22500;302.40885;7210.4853;734.61764;7945.1029;475.90869;63.510273;0.74045863
22750;22750;298.0894;7107.4945;682.12281;7789.6173;115.44686;63.482042;0.74144691
23000;23000;293.77358;7004.5902;786.32227;7790.9124;162.84507;63.44426;0.74277234
23250;23250;296.81981;7077.2229;769.86927;7847.0922;117.83097;63.512849;0.74036853
23500;23500;302.95335;7223.468;709.00461;7932.4726;537.78147;63.506921;0.74057588
23750;23750;298.15281;7109.0064;660.31576;7769.3221;712.02595;63.438663;0.74296897
24000;24000;296.89753;7079.0762;776.45072;7855.5269;944.37363;63.437972;0.74299325
24250;24250;296.93886;7080.0617;669.8983;7749.96;739.81132;63.412936;0.74387361
24500;24500;300.5319;7165.7322;680.66188;7846.3941;264.45981;63.42396;0.74348579
24750;24750;293.45013;6996.8781;870.22881;7867.1069;191.19925;63.545277;0.73923564
25000;25000;298.73919;7122.9878;787.44628;7910.434;252.28323;63.584574;0.73786588
25250;25250;306.0199;7296.5853;763.18281;8059.7681;364.07619;63.432975;0.74316883
